Sl.No.,Roll.No,06-Jan,08-Jan,08-Jan.1,08-Jan.2,10-Jan,10-Jan.1,17-Jan,20-Jan,22-Jan,22-Jan.1,22-Jan.2,24-Jan,24-Jan.1,27-Jan,29-Jan,29-Jan.1,29-Jan.2,31-Jan,31-Jan.1,31-Jan.2,Unnamed: 22,Unnamed: 23
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21.0,22.0
1.0,23E51A6601,A,A,A,A,A,A,A,1,A,A,A,2,3,A,A,A,A,A,A,A,,
2.0,23E51A6602,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,,
3.0,23E51A6603,A,A,A,A,A,A,A,A,A,A,A,1,2,A,3,4,5,6,7,8,,
4.0,23E51A6604,A,A,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,,
5.0,23E51A6605,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,10,A,A,A,,
6.0,23E51A6606,A,A,A,A,A,A,A,1,2,3,4,5,6,A,7,8,9,10,11,12,,
7.0,23E51A6607,A,A,A,A,1,2,A,A,A,A,A,3,4,A,5,6,7,A,A,A,,
8.0,23E51A6608,A,A,A,A,A,A,A,1,A,2,3,4,5,A,6,7,8,9,10,11,,
9.0,23E51A6609,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,10,A,11,12,,
10.0,23E51A6610,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,10,A,11,12,,
11.0,23E51A6611,A,1,2,3,A,A,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
12.0,23E51A6612,A,A,A,A,1,2,A,A,A,A,A,3,4,5,6,7,8,A,9,A,,
13.0,23E51A6613,A,A,A,A,1,2,A,3,4,5,6,7,8,9,10,11,12,13,14,15,,
14.0,23E51A6614,1,A,A,A,A,A,A,2,3,4,5,6,7,8,9,10,11,12,13,14,,
15.0,23E51A6616,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,,
16.0,23E51A6617,A,A,A,A,A,A,A,1,A,A,A,A,A,A,A,A,A,2,3,4,,
17.0,23E51A6618,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,,
18.0,23E51A6619,A,A,A,A,A,A,A,A,1,2,3,4,5,A,6,7,8,9,10,11,,
19.0,23E51A6620,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,10,11,12,,
20.0,23E51A6621,A,1,2,3,A,A,A,A,4,5,6,7,8,9,10,11,12,A,A,A,,
21.0,23E51A6622,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,10,11,12,,
22.0,23E51A6623,A,A,A,A,A,A,A,1,A,A,A,A,A,2,3,4,5,6,7,8,,
23.0,23E51A6624,1,A,A,A,A,A,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,
24.0,23E51A6625,A,1,2,3,A,A,A,A,A,A,A,4,5,6,7,8,9,10,11,12,,
25.0,23E51A6626,A,A,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,,
26.0,23E51A6627,A,A,A,A,A,A,A,1,2,3,4,A,A,5,6,7,8,A,A,A,,
27.0,23E51A6628,A,1,2,3,A,A,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
28.0,23E51A6629,1,2,3,4,A,A,A,5,6,7,8,9,10,11,12,13,14,15,16,17,,
29.0,23E51A6630,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1,2,3,A,A,A,,
30.0,23E51A6631,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,,
31.0,23E51A6632,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,10,11,12,13,,
32.0,23E51A6633,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,10,11,12,,
33.0,23E51A6634,A,A,A,A,1,2,A,3,4,5,6,7,8,9,10,11,12,A,A,A,,
34.0,23E51A6635,A,A,A,A,A,A,A,1,2,3,4,A,A,A,5,6,7,A,A,A,,
35.0,23E51A6636,A,A,A,A,1,2,A,3,A,A,A,A,A,4,A,A,A,A,A,A,,
36.0,23E51A6637,1,2,3,4,5,6,7,8,9,10,11,12,13,A,14,15,16,17,18,19,,
37.0,23E51A6638,A,A,A,A,A,A,1,2,3,4,5,6,7,A,8,9,10,11,12,13,,
38.0,23E51A6640,A,A,A,A,A,A,A,1,2,3,4,5,6,A,7,8,9,10,11,12,,
39.0,23E51A6641,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,A,A,A,,
40.0,23E51A6642,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,,
41.0,23E51A6643,A,A,A,A,A,A,A,1,2,3,4,5,6,A,7,8,9,A,A,A,,
42.0,23E51A6644,A,A,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,,
43.0,23E51A6645,A,A,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,,
44.0,23E51A6647,A,1,2,3,A,A,A,A,4,5,6,7,8,A,9,10,11,12,13,14,,
45.0,23E51A6648,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,10,11,12,13,,
46.0,23E51A6649,A,1,2,3,A,A,A,A,4,5,6,7,8,A,A,9,10,11,12,13,,
47.0,23E51A6650,1,2,3,4,A,A,5,A,6,7,8,9,A,A,10,11,12,13,A,A,,
48.0,23E51A6651,A,A,A,A,A,A,A,A,A,A,A,1,2,3,A,A,A,4,5,6,,
49.0,23E51A6652,A,A,A,A,1,2,A,3,4,5,6,A,A,A,7,8,9,A,A,A,,
50.0,23E51A6653,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,10,A,A,A,,
51.0,23E51A6654,A,A,A,A,A,A,1,2,A,A,A,A,A,A,3,4,5,A,A,A,,
52.0,23E51A6655,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1,2,3,A,A,A,,
53.0,23E51A6656,A,A,A,A,1,2,3,A,4,5,6,7,8,9,10,11,12,13,14,15,,
54.0,23E51A6657,A,A,A,A,A,A,1,2,A,A,A,3,4,A,5,6,7,8,9,10,,
55.0,23E51A6658,1,A,A,A,A,A,A,2,3,4,5,6,7,8,9,10,11,12,13,14,,
56.0,23E51A6659,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,
57.0,23E51A6660,A,1,2,3,A,A,A,4,5,6,7,8,9,A,10,11,12,13,14,15,,
58.0,23E51A6661,A,1,2,3,A,A,A,4,5,6,7,A,A,8,9,10,11,A,A,A,,
59.0,23E51A6662,1,2,3,4,5,6,A,7,8,9,10,11,12,13,14,15,16,17,18,19,,
60.0,23E51A6663,A,A,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,,
61.0,23E51A6664,1,A,A,A,A,A,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,
62.0,24E55A6601,1,A,A,A,A,A,A,2,3,4,5,6,7,8,A,A,A,9,10,11,,
63.0,24E55A6602,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,,
64.0,24E55A6603,1,A,A,A,A,A,A,A,2,3,4,5,6,7,8,9,10,11,12,13,,
65.0,24E55A6604,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,,
66.0,24E55A6605,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,,
67.0,24E55A6606,A,A,A,A,A,A,A,A,A,A,A,1,2,3,4,5,6,7,8,9,,
